Club,Expenditure,Arrivals,Income,Departures,Balance,season_start
Crystal Palace,80553180.00000001,8,0.0,9,-80553180.00000001,2023
Sheffield United,79543295.00000001,18,36712290.00000001,15,-42831005.00000001,2023
Everton,48118050.00000001,16,98374680.00000001,16,50256630.00000001,2023
Luton,30771790.000000004,28,356430.00000000006,25,-30415360.000000004,2023
Chelsea,307271000.0,32,260510000.00000003,32,-46761000.0,2024
Brighton,306780500.0,23,54489100.00000001,25,-252291400.00000003,2024
Man United,268467000.0,18,127748000.00000001,19,-140719000.0,2024
Man City,264870000.00000003,15,154453000.0,13,-110417000.00000001,2024
Aston Villa,233478000.00000003,20,280315300.00000006,25,46837300.0,2024
Tottenham,202031500.0,17,60277000.00000001,17,-141754500.00000003,2024
Ipswich,166323100.0,17,2572400.0,18,-163750700.0,2024
West Ham,157396000.0,18,50303500.0,15,-107092500.00000001,2024
Bournemouth,147041000.0,17,72038100.0,23,-75013800.0,2024
Wolves,135596000.0,23,126658000.00000001,16,-8948900.000000002,2024
Southampton,134124500.00000001,30,45333100.0,19,-88791400.0,2024
Arsenal,118701000.00000001,10,91331100.0,13,-27369900.000000004,2024
Nott'm Forest,114995000.00000001,26,94503000.0,32,-20492000.0,2024
Brentford,107256000.00000001,14,81205000.0,18,-26051000.000000004,2024
Crystal Palace,100171000.0,18,109763000.00000001,18,9592000.0,2024
Fulham,99789500.0,14,74992000.0,13,-24797500.0,2024
Leicester,99244500.0,14,51502500.00000001,13,-47742000.0,2024
Newcastle,74338000.0,11,97609500.0,16,23271500.0,2024
Everton,54718000.00000001,11,91723500.0,12,37005500.0,2024
Liverpool,45780000.0,12,51230000.00000001,15,5450000.0,2024
Liverpool,339680000.0,15,219500000.0,10,-120180000.0,2025
Arsenal,293500000.0,14,8000000.0,9,-285500000.0,2025
Chelsea,279650000.0,23,276450000.0,19,-3200000.0,2025
Man United,229700000.0,12,0.0,7,-229700000.0,2025
Man City,176900000.0,15,58500000.0,11,-118400000.0,2025
Nott'm Forest,174900000.0,16,124400000.0,13,-50500000.0,2025
Sunderland,165000000.0,21,51000000.0,9,-114000000.0,2025
Newcastle,146150000.0,10,31000000.0,10,-115150000.0,2025
Tottenham,145600000.0,13,35500000.0,12,-110100000.0,2025
Everton,127750000.0,13,4000000.0,14,-123750000.0,2025
Burnley,125650000.0,21,35000000.0,17,-90650000.0,2025
Bournemouth,121600000.0,16,237060000.0,14,115460000.0,2025
Leeds,113700000.0,16,8000000.0,10,-105700000.0,2025
Brentford,98700000.0,14,97600000.0,11,-1100000.0,2025
Wolves,98500000.0,12,115000000.0,16,16500000.0,2025
West Ham,82800000.0,15,65800000.0,12,-17000000.0,2025
Brighton,80000000.0,23,121700000.0,15,41700000.0,2025
Aston Villa,37000000.0,15,55150000.0,17,18150000.0,2025
Crystal Palace,2300000.0,13,69300000.0,12,67000000.0,2025
Fulham,500000.0,2,0.0,5,-500000.0,2025
